# Start timestamp: 1764597025029
# Start time: 01.12.2025 14:50:25.029
# Duration: 01:51.971
# Sensor insoles: Left SN12868, Right SN12869
# Size: 6
# Recording type: normal
# Name: jsing112-04
# Notes: 
# Tag: 
# time	left pressure 1[N/cm²]	left pressure 2[N/cm²]	left pressure 3[N/cm²]	left pressure 4[N/cm²]	left pressure 5[N/cm²]	left pressure 6[N/cm²]	left pressure 7[N/cm²]	left pressure 8[N/cm²]	left pressure 9[N/cm²]	left pressure 10[N/cm²]	left pressure 11[N/cm²]	left pressure 12[N/cm²]	left pressure 13[N/cm²]	left pressure 14[N/cm²]	left pressure 15[N/cm²]	left pressure 16[N/cm²]	left acceleration X[g]	left acceleration Y[g]	left acceleration Z[g]	left angular X[dps]	left angular Y[dps]	left angular Z[dps]	left total force[N]	left center of pressure X[-0.5...+0.5]	left center of pressure Y[-0.5...+0.5]	right pressure 1[N/cm²]	right pressure 2[N/cm²]	right pressure 3[N/cm²]	right pressure 4[N/cm²]	right pressure 5[N/cm²]	right pressure 6[N/cm²]	right pressure 7[N/cm²]	right pressure 8[N/cm²]	right pressure 9[N/cm²]	right pressure 10[N/cm²]	right pressure 11[N/cm²]	right pressure 12[N/cm²]	right pressure 13[N/cm²]	right pressure 14[N/cm²]	right pressure 15[N/cm²]	right pressure 16[N/cm²]	right acceleration X[g]	right acceleration Y[g]	right acceleration Z[g]	right angular X[dps]	right angular Y[dps]	right angular Z[dps]	right total force[N]	right center of pressure X[-0.5...+0.5]	right center of pressure Y[-0.5...+0.5]
0.00	7.50	5.25	4.00	4.25	1.75	4.50	0.50	5.50	1.50	1.50	1.75	2.50	5.00	5.50	1.00	3.00	-0.289551	0.055664	0.961914	-0.840000	0.630000	-0.280000	627.00	-0.055628	-0.122735																									
0.01	6.50	5.00	3.50	4.25	1.75	4.25	0.50	5.50	1.75	1.50	1.25	2.25	4.75	5.50	1.00	3.00	-0.288574	0.058594	0.962402	-0.770000	0.700000	-0.350000	596.00	-0.047872	-0.123876																									
0.02	6.50	5.00	3.50	3.50	1.75	4.50	0.50	5.50	2.00	1.25	1.25	2.25	5.00	5.50	0.75	2.50	-0.291504	0.060547	0.955566	-0.910000	0.560000	-0.350000	588.00	-0.047683	-0.122170																									
0.03	6.50	5.25	4.00	4.25	1.75	4.75	0.50	5.25	1.75	1.25	1.50	2.75	5.25	5.50	0.25	2.00	-0.289062	0.062012	0.957031	-0.840000	0.560000	-0.280000	603.00	-0.059315	-0.125374																									
0.04	6.75	5.00	3.75	4.25	1.75	4.75	0.25	5.50	2.00	1.25	1.00	2.25	5.00	5.50	0.50	2.00	-0.288574	0.065918	0.961426	-0.840000	0.560000	-0.350000	593.00	-0.061117	-0.124097																									
0.05	6.50	5.00	3.50	4.25	1.00	4.25	0.25	5.25	2.00	1.25	1.00	2.00	5.25	5.25	1.00	2.00	-0.291992	0.061035	0.959961	-0.700000	0.700000	-0.210000	571.00	-0.054348	-0.127148																									
0.06	6.50	5.00	3.00	4.25	1.25	4.25	0.50	5.25	2.25	1.25	1.25	2.25	4.75	5.50	0.50	2.25	-0.288086	0.063477	0.957520	-0.770000	0.630000	-0.350000	574.00	-0.050352	-0.121052																									
0.07	6.50	5.00	3.25	4.50	2.00	4.25	0.25	5.50	2.25	1.25	1.50	2.25	4.75	5.50	0.50	2.25	-0.295898	0.062012	0.957520	-0.560000	0.700000	-0.280000	592.00	-0.053106	-0.122130																									
0.08	6.50	5.00	3.50	4.00	1.75	4.50	0.25	5.25	1.25	1.25	1.00	2.75	4.75	5.50	0.25	2.25	-0.291992	0.061035	0.959473	-0.700000	0.700000	-0.420000	568.00	-0.062489	-0.131700																									
0.09	6.75	5.00	3.50	3.50	1.25	4.25	0.50	5.25	1.00	1.00	1.25	2.50	4.75	5.00	0.00	2.00	-0.291016	0.061523	0.953613	-0.630000	0.560000	-0.350000	544.00	-0.070789	-0.133092																									
