# Start timestamp: 1764596763263
# Start time: 01.12.2025 14:46:03.263
# Duration: 01:53.465
# Sensor insoles: Left SN12868, Right SN12869
# Size: 6
# Recording type: normal
# Name: jsing112-03
# Notes: 
# Tag: 
# time	left pressure 1[N/cm²]	left pressure 2[N/cm²]	left pressure 3[N/cm²]	left pressure 4[N/cm²]	left pressure 5[N/cm²]	left pressure 6[N/cm²]	left pressure 7[N/cm²]	left pressure 8[N/cm²]	left pressure 9[N/cm²]	left pressure 10[N/cm²]	left pressure 11[N/cm²]	left pressure 12[N/cm²]	left pressure 13[N/cm²]	left pressure 14[N/cm²]	left pressure 15[N/cm²]	left pressure 16[N/cm²]	left acceleration X[g]	left acceleration Y[g]	left acceleration Z[g]	left angular X[dps]	left angular Y[dps]	left angular Z[dps]	left total force[N]	left center of pressure X[-0.5...+0.5]	left center of pressure Y[-0.5...+0.5]	right pressure 1[N/cm²]	right pressure 2[N/cm²]	right pressure 3[N/cm²]	right pressure 4[N/cm²]	right pressure 5[N/cm²]	right pressure 6[N/cm²]	right pressure 7[N/cm²]	right pressure 8[N/cm²]	right pressure 9[N/cm²]	right pressure 10[N/cm²]	right pressure 11[N/cm²]	right pressure 12[N/cm²]	right pressure 13[N/cm²]	right pressure 14[N/cm²]	right pressure 15[N/cm²]	right pressure 16[N/cm²]	right acceleration X[g]	right acceleration Y[g]	right acceleration Z[g]	right angular X[dps]	right angular Y[dps]	right angular Z[dps]	right total force[N]	right center of pressure X[-0.5...+0.5]	right center of pressure Y[-0.5...+0.5]
0.00	4.00	2.00	2.00	1.50	1.00	2.00	0.25	3.50	0.75	1.25	0.50	1.50	3.75	5.50	1.50	1.25	-0.280762	0.070801	0.957520	-0.700000	0.630000	-0.280000	365.00	0.010956	-0.111729	1.75	1.50	1.00	2.00	0.50	2.50	0.00	3.25	0.25	0.00	0.00	1.75	4.50	6.50	0.75	0.75	-0.283691	0.074219	0.976074	-1.470000	-2.520000	1.190000	300.00	0.039797	-0.164866
0.01	4.00	2.00	1.25	1.50	0.50	2.00	0.00	3.50	0.75	0.75	0.25	1.50	3.75	5.50	1.00	1.50	-0.275391	0.064453	0.967773	-0.770000	0.630000	-0.350000	333.00	0.009104	-0.129127	2.00	1.75	0.75	2.00	0.50	2.50	0.00	3.25	0.00	0.00	0.00	1.75	5.00	5.75	1.00	0.25	-0.286133	0.078613	0.976074	-1.400000	-2.380000	1.190000	297.00	0.025899	-0.180639
0.02	4.25	2.50	1.50	1.75	0.50	1.75	0.00	3.25	0.75	0.25	0.25	1.50	4.00	5.50	1.00	1.00	-0.272949	0.066406	0.963867	-0.840000	0.630000	-0.420000	333.00	-0.010237	-0.125970	2.00	2.25	0.50	1.75	0.25	2.50	0.00	3.25	0.00	0.00	0.00	1.75	4.75	5.75	1.25	0.25	-0.283691	0.073242	0.978516	-1.330000	-2.520000	1.050000	293.00	0.028653	-0.182002
0.03	3.25	2.25	1.25	1.75	0.25	1.50	0.00	3.50	0.75	0.50	0.50	1.50	3.75	5.50	0.75	0.75	-0.273438	0.068359	0.970215	-0.700000	0.490000	-0.490000	314.00	0.009616	-0.135321	1.75	1.25	0.50	1.75	0.00	2.50	0.00	3.50	0.00	0.00	0.00	1.75	4.50	6.25	1.25	0.50	-0.279785	0.076660	0.977539	-1.330000	-2.450000	1.330000	285.00	0.056488	-0.183585
0.04	2.75	2.00	1.25	1.50	0.25	1.50	0.00	3.50	1.00	0.50	0.25	1.75	3.50	5.50	1.00	1.00	-0.270020	0.065430	0.962891	-0.630000	0.560000	-0.420000	308.00	0.030449	-0.133468	1.50	1.00	0.50	1.75	0.25	2.50	0.00	3.50	0.00	0.00	0.00	1.50	4.75	6.25	1.25	0.25	-0.284668	0.074707	0.974609	-1.330000	-2.380000	1.190000	281.00	0.061217	-0.184574
0.05	3.50	1.75	1.25	1.00	0.50	1.50	0.00	3.25	1.25	0.50	0.25	1.75	3.50	5.50	1.00	1.00	-0.272949	0.066895	0.966797	-0.770000	0.350000	-0.420000	310.00	0.030038	-0.114769	1.75	1.00	0.50	1.25	0.50	2.25	0.00	3.25	0.00	0.00	0.00	1.50	4.25	6.50	1.25	0.00	-0.284180	0.081543	0.979492	-1.260000	-2.450000	1.190000	270.00	0.065006	-0.165037
0.06	2.50	1.25	0.75	1.50	0.25	1.50	0.00	3.25	1.25	0.50	0.50	1.00	4.00	5.50	1.00	0.50	-0.272949	0.070312	0.961914	-0.840000	0.420000	-0.350000	287.00	0.051723	-0.129379	1.50	1.25	0.25	1.25	0.50	2.00	0.00	3.25	0.00	0.00	0.00	1.75	4.00	6.25	1.00	0.50	-0.281738	0.075195	0.974121	-1.120000	-2.450000	1.190000	262.00	0.068874	-0.174129
0.07	2.50	1.75	1.00	1.00	0.00	1.50	0.00	3.75	0.25	0.25	0.50	1.00	3.75	5.50	1.00	0.50	-0.277832	0.062988	0.961426	-0.770000	0.560000	-0.350000	275.00	0.033394	-0.155742	1.25	1.25	0.50	1.75	0.50	2.50	0.00	3.25	0.00	0.00	0.00	1.75	4.25	6.25	1.00	0.50	-0.280273	0.076660	0.981934	-1.330000	-2.450000	1.190000	276.00	0.058380	-0.179797
0.08	3.50	1.75	0.75	1.00	0.50	1.75	0.00	3.75	0.25	0.50	0.00	1.00	4.00	5.50	0.75	0.50	-0.272949	0.067383	0.967285	-0.840000	0.630000	-0.420000	289.00	0.009850	-0.146509	1.50	1.25	0.00	1.50	0.25	2.50	0.00	3.25	0.00	0.00	0.00	1.75	4.50	6.50	1.00	0.25	-0.285645	0.075684	0.977539	-1.330000	-2.520000	1.260000	270.00	0.069100	-0.183683
0.09	3.75	1.75	0.75	1.50	0.50	1.50	0.00	3.00	0.25	0.50	0.25	1.25	4.00	5.50	0.75	0.75	-0.276367	0.067871	0.960449	-0.630000	0.490000	-0.280000	289.00	0.008171	-0.135779	1.50	1.25	0.00	1.00	0.25	2.25	0.00	3.25	0.00	0.00	0.00	1.75	4.00	6.50	0.75	0.25	-0.286621	0.079102	0.978516	-1.470000	-2.590000	1.190000	254.00	0.074430	-0.177647
0.10	2.75	1.75	0.75	1.50	0.00	1.50	0.00	3.25	0.50	0.50	0.25	1.50	4.00	5.50	0.25	0.75	-0.276367	0.069336	0.963379	-0.840000	0.560000	-0.350000	277.00	0.024575	-0.151368	1.50	1.00	0.00	1.25	0.25	2.75	0.00	3.25	0.00	0.00	0.00	2.00	4.00	6.50	0.75	0.25	-0.283203	0.074219	0.976562	-1.400000	-2.590000	1.260000	263.00	0.071341	-0.181737
0.11	3.25	1.75	0.75	1.00	0.00	1.50	0.00	3.00	0.25	0.50	0.00	1.00	4.00	5.50	0.25	0.50	-0.271484	0.067871	0.959961	-0.770000	0.490000	-0.350000	259.00	0.011613	-0.142249	1.25	1.00	0.25	1.50	0.25	2.50	0.00	3.25	0.00	0.00	0.00	1.50	4.00	6.50	0.75	0.50	-0.283203	0.073730	0.983398	-1.400000	-2.660000	1.190000	259.00	0.069585	-0.179400
0.12	2.75	2.00	0.25	1.00	0.25	1.50	0.00	3.25	0.25	0.00	0.00	1.00	4.00	5.50	0.75	0.75	-0.268066	0.066895	0.960449	-0.700000	0.420000	-0.210000	258.00	0.026854	-0.159304	1.25	1.00	0.25	1.25	0.25	2.25	0.00	3.25	0.00	0.00	0.00	1.50	4.00	6.25	1.00	0.25	-0.283691	0.071289	0.980957	-1.330000	-2.590000	1.260000	252.00	0.075430	-0.179152
0.13	3.75	1.25	0.50	0.75	0.25	1.50	0.00	3.25	0.50	0.25	0.00	1.25	4.00	5.75	1.00	1.00	-0.275879	0.065918	0.959473	-0.840000	0.490000	-0.420000	278.00	0.037535	-0.135522	1.50	0.75	0.00	1.00	0.50	2.00	0.00	3.25	0.25	0.00	0.00	1.50	4.25	6.25	1.00	0.00	-0.283691	0.072266	0.969238	-1.400000	-2.660000	1.330000	251.00	0.085549	-0.170158
0.14	4.00	2.00	0.75	0.75	0.50	1.75	0.00	3.25	0.75	0.50	0.00	1.50	4.00	5.50	1.00	0.50	-0.270508	0.065918	0.961914	-0.840000	0.560000	-0.420000	301.00	0.015523	-0.126564	2.00	0.75	0.00	1.00	0.50	2.00	0.00	3.25	0.00	0.00	0.00	1.50	4.00	6.25	1.25	0.25	-0.289062	0.075195	0.972656	-1.470000	-2.660000	1.260000	255.00	0.076745	-0.167352
0.15	3.50	2.25	1.00	1.00	0.50	1.50	0.00	3.50	0.50	0.75	0.00	1.50	4.00	5.50	1.00	0.25	-0.274902	0.068848	0.967773	-0.770000	0.630000	-0.350000	303.00	0.012770	-0.134325	1.25	1.00	0.25	1.25	0.50	2.50	0.00	3.00	0.00	0.00	0.00	1.75	4.00	6.50	0.50	0.50	-0.285645	0.083008	0.978516	-1.820000	-2.590000	1.260000	255.00	0.070587	-0.174961
0.16	3.50	2.00	1.25	1.00	0.75	1.50	0.00	3.50	0.25	0.50	0.25	1.50	4.00	5.50	1.00	0.75	-0.271973	0.073730	0.966797	-0.700000	0.630000	-0.280000	306.00	0.012570	-0.138091	1.25	1.50	0.50	1.25	0.50	2.50	0.00	3.25	0.00	0.00	0.00	1.00	4.50	6.50	0.25	0.25	-0.282715	0.070312	0.974121	-1.610000	-2.590000	1.260000	259.00	0.047637	-0.176605
0.17	4.00	2.00	1.25	1.50	0.75	1.75	0.00	3.50	0.25	0.50	0.25	1.25	4.00	5.50	0.50	0.50	-0.278809	0.070801	0.962891	-0.630000	0.490000	-0.420000	311.00	-0.013131	-0.135298	2.25	1.50	0.50	1.25	0.50	2.50	0.00	3.25	0.00	0.00	0.00	1.00	5.00	6.50	0.75	0.25	-0.281250	0.073242	0.981445	-1.680000	-2.660000	1.260000	281.00	0.038863	-0.167951
0.18	3.50	2.00	1.00	1.00	0.75	1.50	0.00	3.25	0.25	0.50	0.00	1.25	3.75	5.50	0.50	0.50	-0.275879	0.064941	0.956543	-0.840000	0.490000	-0.350000	284.00	0.000684	-0.132966	1.25	1.50	0.75	1.25	0.50	2.50	0.00	3.25	0.00	0.00	0.00	1.25	4.75	6.25	1.00	0.50	-0.277344	0.079590	0.973633	-1.680000	-2.730000	1.120000	275.00	0.056752	-0.178114
0.19	2.50	1.75	1.00	1.00	0.75	1.00	0.00	3.50	0.00	0.50	0.00	1.25	4.00	5.50	0.50	0.75	-0.271484	0.067871	0.965332	-0.840000	0.560000	-0.420000	268.00	0.024886	-0.153078	2.25	1.25	0.75	1.50	0.50	2.50	0.00	3.25	0.25	0.00	0.00	1.25	4.25	5.75	1.00	0.25	-0.281738	0.074707	0.977051	-1.680000	-2.800000	1.260000	279.00	0.031826	-0.161724
0.20	3.25	1.75	1.00	0.50	0.75	1.00	0.00	3.50	0.25	0.75	0.25	1.50	3.25	5.50	0.75	1.00	-0.272949	0.068359	0.961426	-0.840000	0.560000	-0.490000	280.00	0.029720	-0.129378	2.00	1.25	0.75	1.50	0.50	2.50	0.00	3.25	0.00	0.00	0.00	1.50	4.75	6.25	0.25	0.00	-0.283691	0.077148	0.982910	-1.750000	-2.730000	1.190000	275.00	0.030496	-0.172651
0.21	3.75	1.00	1.25	0.50	0.25	1.50	0.00	3.25	0.50	0.75	0.25	1.50	3.50	5.50	1.00	1.00	-0.271484	0.065918	0.963867	-0.910000	0.630000	-0.350000	286.00	0.037659	-0.121741	1.75	1.50	0.50	1.50	0.25	2.50	0.00	3.25	0.00	0.00	0.00	1.25	4.25	5.75	0.25	0.00	-0.281738	0.071777	0.980957	-1.680000	-2.800000	1.120000	257.00	0.024761	-0.181198
0.22	4.25	2.00	1.25	0.75	0.25	1.75	0.00	3.50	0.75	1.00	0.25	1.50	3.75	5.50	0.75	0.75	-0.278320	0.068359	0.965820	-0.840000	0.560000	-0.350000	316.00	0.010182	-0.120832	1.75	1.50	0.50	1.00	0.25	2.25	0.00	3.25	0.00	0.00	0.00	1.50	4.75	6.50	0.50	0.00	-0.283203	0.073730	0.978516	-1.610000	-2.590000	1.120000	265.00	0.052723	-0.174904
0.23	4.00	2.00	1.25	1.00	0.50	1.75	0.00	3.50	1.00	1.00	0.25	1.75	3.75	5.50	1.00	0.75	-0.270508	0.068359	0.961914	-0.700000	0.560000	-0.280000	329.00	0.017666	-0.118988	1.25	1.75	0.25	1.00	0.00	2.50	0.00	3.25	0.00	0.00	0.00	1.50	4.75	6.50	1.00	0.00	-0.279785	0.074219	0.972656	-1.540000	-2.730000	1.330000	264.00	0.069082	-0.185710
0.24	3.25	2.25	1.25	1.00	0.25	1.50	0.00	3.50	0.50	0.75	0.25	1.00	3.50	5.50	0.75	1.00	-0.274902	0.065918	0.961914	-0.770000	0.490000	-0.350000	294.00	0.012424	-0.130980	1.25	0.75	0.50	1.00	0.00	2.25	0.00	3.25	0.00	0.00	0.00	1.75	4.75	6.50	0.25	0.50	-0.281250	0.079590	0.973145	-1.540000	-2.730000	1.330000	252.00	0.080526	-0.188415
0.25	2.75	1.75	1.25	0.75	0.25	1.50	0.00	3.25	0.00	0.50	0.25	1.00	3.50	5.50	0.75	1.00	-0.277344	0.064453	0.967773	-0.770000	0.560000	-0.280000	267.00	0.024140	-0.143228	1.50	0.75	0.50	1.00	0.25	2.50	0.00	3.25	0.25	0.00	0.00	1.25	4.50	6.50	0.25	0.25	-0.283203	0.073730	0.976074	-1.470000	-2.520000	1.260000	255.00	0.067148	-0.170982
0.26	2.75	1.25	1.25	0.75	0.50	1.50	0.00	3.50	0.00	0.75	0.25	1.00	3.50	5.50	1.25	1.00	-0.263672	0.070312	0.961914	-0.770000	0.560000	-0.420000	277.00	0.040141	-0.140947	1.50	1.00	0.50	1.25	0.00	2.75	0.00	3.25	0.00	0.00	0.00	2.00	4.25	5.75	0.75	0.00	-0.286133	0.074707	0.976074	-1.470000	-2.520000	1.330000	260.00	0.055807	-0.189591
0.27	3.50	1.00	0.75	0.50	0.50	1.00	0.00	3.25	0.50	0.50	0.50	0.75	3.50	5.50	0.50	1.00	-0.271484	0.072754	0.959473	-0.700000	0.490000	-0.420000	260.00	0.038072	-0.120692	1.50	1.00	0.75	1.25	0.00	2.00	0.00	3.25	0.00	0.00	0.00	1.25	4.50	6.25	0.25	0.25	-0.286133	0.074219	0.980469	-1.470000	-2.520000	1.190000	248.00	0.055489	-0.178428
0.28	3.25	1.00	0.50	0.25	0.50	1.50	0.00	3.25	0.50	0.50	0.25	1.00	3.50	5.50	0.25	1.00	-0.273926	0.060059	0.955566	-0.770000	0.490000	-0.420000	254.00	0.041657	-0.130577	1.50	1.00	0.25	1.50	0.00	2.00	0.00	3.25	0.00	0.00	0.00	1.00	4.50	6.50	0.25	0.25	-0.288086	0.078125	0.974609	-1.470000	-2.520000	1.190000	245.00	0.060891	-0.180923
0.29	4.00	1.25	1.00	0.75	0.50	0.75	0.00	3.50	0.75	0.75	0.00	1.00	3.50	5.50	0.25	1.00	-0.268555	0.064453	0.962402	-0.910000	0.560000	-0.350000	276.00	0.018213	-0.112961	1.75	1.00	0.25	1.25	0.00	2.50	0.00	3.25	0.00	0.00	0.00	1.25	4.25	6.50	0.25	0.50	-0.284668	0.076660	0.976562	-1.470000	-2.520000	1.260000	252.00	0.057220	-0.178780
0.30	4.50	1.75	1.00	1.50	0.50	0.75	0.00	3.50	0.25	0.50	0.50	1.00	3.50	5.50	0.50	1.00	-0.270020	0.066406	0.962402	-0.840000	0.350000	-0.350000	294.00	-0.006798	-0.123916	1.25	0.75	0.50	1.00	0.00	2.25	0.00	3.00	0.00	0.00	0.00	1.25	4.50	6.50	0.50	0.25	-0.281738	0.073730	0.976074	-1.400000	-2.520000	1.260000	241.00	0.080395	-0.177643
0.31	3.50	2.25	1.25	1.00	0.50	1.50	0.00	3.25	0.25	0.25	0.50	1.25	3.75	5.50	1.00	1.00	-0.274414	0.069336	0.961426	-1.050000	0.560000	-0.350000	298.00	0.009142	-0.135296	1.25	0.75	0.50	1.25	0.25	2.50	0.00	3.25	0.00	0.00	0.00	1.50	4.50	6.50	0.75	0.00	-0.281250	0.075195	0.975098	-1.470000	-2.520000	1.330000	258.00	0.073014	-0.179441
0.32	4.25	2.00	1.00	0.75	0.25	1.50	0.00	3.50	0.25	0.50	0.00	1.00	3.75	5.50	0.50	1.25	-0.271973	0.066895	0.961426	-0.980000	0.490000	-0.420000	289.00	-0.002304	-0.133830	1.50	1.00	0.50	1.50	0.25	2.50	0.00	3.50	0.00	0.00	0.00	2.00	4.00	6.50	0.75	0.25	-0.275879	0.077148	0.980957	-1.470000	-2.520000	1.330000	273.00	0.061045	-0.178369
0.33	4.25	1.25	1.00	0.75	0.25	1.50	0.00	3.75	0.50	0.50	0.00	1.25	3.75	5.50	0.50	1.00	-0.269043	0.064453	0.964844	-0.980000	0.420000	-0.350000	290.00	0.011763	-0.132347	2.25	1.25	0.50	1.50	0.50	2.50	0.00	3.25	0.00	0.00	0.00	1.25	4.00	6.25	0.25	0.00	-0.285156	0.078125	0.977051	-1.540000	-2.660000	1.260000	265.00	0.023636	-0.163622
